Redshift,Lum. Distance,Erro
0.078,364.44045176,0.97566
0.08800000000000001,414.18993664,1.09047
0.10300000000000001,489.99857304,1.25177
0.10300000000000001,489.99857304,1.25177
0.152,747.29305728,1.68294
0.20800000000000002,1058.67707848,2.06301
0.214,1093.09146362,2.1021400000000003
0.215,1098.8465103,2.1087
0.235,1215.0940724000002,2.24342
0.235,1215.0940724000002,2.24342
0.23600000000000002,1220.96328132,2.2504
0.252,1315.59592844,2.36648
0.253,1321.5554641800004,2.37405
0.313,1688.51343076,2.92153
0.314,1694.7817736400002,2.93246
0.318,1719.90371054,2.97683
0.324,1757.7316491200006,3.04534
0.345,1891.48115305,3.3038199999999995
0.35200000000000004,1936.52453176,3.39644
0.355,1955.89828635,3.43712
0.363,2007.76371524,3.5484400000000003
0.363,2007.76371524,3.5484400000000003
0.37799999999999995,2105.79415878,3.76817
0.391,2191.56599961,3.96989
0.39899999999999997,2244.71717051,4.0990400000000005
0.40399999999999997,2278.07745516,4.18166
0.423,2405.81919792,4.5083199999999986
0.442,2535.06881992,4.85405
0.447,2569.32717556,4.94802
0.451,2596.8064107200007,5.02405
0.46,2658.8683274,5.19784
0.461,2665.7839186500005,5.21738
0.48700000000000004,2846.95538918,5.7405599999999986
0.539,3216.867094170001,6.865660000000001
0.5760000000000001,3485.84032912,7.72203
0.596,3633.1054326,8.20266
0.7020000000000001,4433.481506499998,10.96223
0.723,4595.64811044,11.55744
1.028,7047.8746338,24.01841
1.063,7337.468881719998,26.20489
