Redshift,Lum. Distance,Erro
0.078,332.36531636,0.92302
0.08800000000000001,377.73748672,1.03189
0.10300000000000001,446.87735057,1.18495
0.10300000000000001,446.87735057,1.18495
0.152,681.54948864,1.59477
0.20800000000000002,965.5754192,1.95531
0.214,996.96730782,1.99222
0.215,1002.2169285,1.9984
0.235,1108.25645775,2.12506
0.235,1108.25645775,2.12506
0.23600000000000002,1113.61032828,2.13161
0.252,1199.93466604,2.24027
0.253,1205.3710266500002,2.24735
0.313,1540.12319955,2.75697
0.314,1545.8415424200002,2.76713
0.318,1568.75924002,2.80837
0.324,1603.2682086000002,2.87204
0.345,1725.28375325,3.11229
0.35200000000000004,1766.3757644000002,3.19841
0.355,1784.05003195,3.23624
0.363,1831.36590447,3.3398
0.363,1831.36590447,3.3398
0.37799999999999995,1920.7977552400007,3.54432
0.391,1999.0467172,3.73221
0.39899999999999997,2047.53629067,3.85258
0.40399999999999997,2077.97081076,3.9296
0.423,2194.50973144,4.23436
0.442,2312.42485628,4.55722
0.447,2343.67901474,4.64503
0.451,2368.74853282,4.71609
0.46,2425.3681768,4.87858
0.461,2431.67732562,4.89685
0.48700000000000004,2596.96188599,5.3863900000000005
0.539,2934.43544691,6.44073
0.5760000000000001,3179.8197884,7.244210000000002
0.596,3314.168421480001,7.69537
0.7020000000000001,4044.31745344,10.28559
0.723,4192.24775465,10.84366
1.028,6428.666711999999,22.42827
1.063,6692.68567915,24.44852
